"ring" "alias"
"476" "CA1512" "bird_476"
"477" "CA1513" "bird_477"
"478" "CA1514" "bird_478"
"479" "CA1515" "bird_479"
"480" "CA1516" "bird_480"
"481" "CA1517" "bird_481"
"482" "CA1518" "bird_482"
"483" "CA1519" "bird_483"
"484" "CA152" "bird_484"
"485" "CA1520" "bird_485"
"486" "CA1521" "bird_486"
"487" "CA1522" "bird_487"
"488" "CA1523" "bird_488"
"489" "CA1524" "bird_489"
"490" "CA1525" "bird_490"
"491" "CA1526" "bird_491"
"492" "CA1527" "bird_492"
"493" "CA1529" "bird_493"
"494" "CA153" "bird_494"
"495" "CA1530" "bird_495"
"496" "CA1531" "bird_496"
"497" "CA1532" "bird_497"
"498" "CA1533" "bird_498"
"499" "CA1534" "bird_499"
"500" "CA1535" "bird_500"
"501" "CA1536" "bird_501"
"502" "CA1537" "bird_502"
"503" "CA1538" "bird_503"
"504" "CA1539" "bird_504"
"505" "CA154" "bird_505"
"506" "CA1540" "bird_506"
"507" "CA1541" "bird_507"
"508" "CA1542" "bird_508"
"509" "CA1543" "bird_509"
"510" "CA1544" "bird_510"
"511" "CA1545" "bird_511"
"512" "CA1546" "bird_512"
"513" "CA1547" "bird_513"
"514" "CA1548" "bird_514"
"515" "CA1549" "bird_515"
"516" "CA155" "bird_516"
"517" "CA1550" "bird_517"
"518" "CA1551" "bird_518"
"519" "CA1552" "bird_519"
"520" "CA1553" "bird_520"
"521" "CA1554" "bird_521"
"522" "CA1555" "bird_522"
"523" "CA1556" "bird_523"
"524" "CA1557" "bird_524"
"525" "CA1558" "bird_525"
"526" "CA1559" "bird_526"
"527" "CA156" "bird_527"
"528" "CA1560" "bird_528"
"529" "CA1561" "bird_529"
"530" "CA1562" "bird_530"
"531" "CA1563" "bird_531"
"532" "CA1564" "bird_532"
"533" "CA1565" "bird_533"
"534" "CA1566" "bird_534"
"535" "CA1567" "bird_535"
"536" "CA1568" "bird_536"
"537" "CA1569" "bird_537"
"538" "CA157" "bird_538"
"539" "CA1570" "bird_539"
"540" "CA1571" "bird_540"
"541" "CA1572" "bird_541"
"542" "CA1573" "bird_542"
"543" "CA1574" "bird_543"
"544" "CA1575" "bird_544"
"545" "CA1576" "bird_545"
"546" "CA1577" "bird_546"
"547" "CA1578" "bird_547"
"548" "CA1579" "bird_548"
"549" "CA158" "bird_549"
"550" "CA1580" "bird_550"
"551" "CA1581" "bird_551"
"552" "CA1582" "bird_552"
"553" "CA1583" "bird_553"
"554" "CA1584" "bird_554"
"555" "CA1585" "bird_555"
"556" "CA1586" "bird_556"
"557" "CA1587" "bird_557"
"558" "CA1588" "bird_558"
"559" "CA1589" "bird_559"
"560" "CA159" "bird_560"
"561" "CA1590" "bird_561"
"562" "CA1591" "bird_562"
"563" "CA1592" "bird_563"
"564" "CA1593" "bird_564"
"565" "CA1594" "bird_565"
"566" "CA1595" "bird_566"
"567" "CA1596" "bird_567"
"568" "CA1597" "bird_568"
"569" "CA1598" "bird_569"
"570" "CA1599" "bird_570"
"571" "CA160" "bird_571"
"572" "CA1600" "bird_572"
"573" "CA161" "bird_573"
"574" "CA162" "bird_574"
"575" "CA163" "bird_575"
"576" "CA164" "bird_576"
"577" "CA165" "bird_577"
"578" "CA166" "bird_578"
"579" "CA167" "bird_579"
"580" "CA168" "bird_580"
"581" "CA170" "bird_581"
"582" "CA171" "bird_582"
"583" "CA172" "bird_583"
"584" "CA173" "bird_584"
"585" "CA174" "bird_585"
"586" "CA175" "bird_586"
"587" "CA177" "bird_587"
"588" "CA178" "bird_588"
"589" "CA179" "bird_589"
"590" "CA180" "bird_590"
"591" "CA181" "bird_591"
"592" "CA182" "bird_592"
"593" "CA183" "bird_593"
"594" "CA184" "bird_594"
"595" "CA185" "bird_595"
"596" "CA186" "bird_596"
"597" "CA187" "bird_597"
"598" "CA188" "bird_598"
"599" "CA189" "bird_599"
"600" "CA190" "bird_600"
"601" "CA191" "bird_601"
"602" "CA192" "bird_602"
"603" "CA193" "bird_603"
"604" "CA194" "bird_604"
"605" "CA195" "bird_605"
"606" "CA196" "bird_606"
"607" "CA197" "bird_607"
"608" "CA198" "bird_608"
"609" "CA199" "bird_609"
"610" "CA200" "bird_610"
"611" "CA2001" "bird_611"
"612" "CA2002" "bird_612"
"613" "CA2005" "bird_613"
"614" "CA2006" "bird_614"
"615" "CA2007" "bird_615"
"616" "CA2008" "bird_616"
"617" "CA2009" "bird_617"
"618" "CA201" "bird_618"
"619" "CA2010" "bird_619"
"620" "CA2011" "bird_620"
"621" "CA2012" "bird_621"
"622" "CA2013" "bird_622"
"623" "CA2014" "bird_623"
"624" "CA2016" "bird_624"
"625" "CA2017" "bird_625"
"626" "CA2018" "bird_626"
"627" "CA2019" "bird_627"
"628" "CA202" "bird_628"
"629" "CA2020" "bird_629"
"630" "CA2021" "bird_630"
"631" "CA2022" "bird_631"
"632" "CA2023" "bird_632"
"633" "CA2024" "bird_633"
"634" "CA2025" "bird_634"
"635" "CA2026" "bird_635"
"636" "CA2027" "bird_636"
"637" "CA2028" "bird_637"
"638" "CA2029" "bird_638"
"639" "CA203" "bird_639"
"640" "CA2030" "bird_640"
"641" "CA2033" "bird_641"
"642" "CA2034" "bird_642"
"643" "CA2035" "bird_643"
"644" "CA2036" "bird_644"
"645" "CA2037" "bird_645"
"646" "CA2038" "bird_646"
"647" "CA2039" "bird_647"
"648" "CA204" "bird_648"
"649" "CA2040" "bird_649"
"650" "CA2041" "bird_650"
"651" "CA2042" "bird_651"
"652" "CA2043" "bird_652"
"653" "CA2044" "bird_653"
"654" "CA2045" "bird_654"
"655" "CA2046" "bird_655"
"656" "CA2047" "bird_656"
"657" "CA2048" "bird_657"
"658" "CA2049" "bird_658"
"659" "CA205" "bird_659"
"660" "CA2050" "bird_660"
"661" "CA2051" "bird_661"
"662" "CA2052" "bird_662"
"663" "CA2053" "bird_663"
"664" "CA2054" "bird_664"
"665" "CA2055" "bird_665"
"666" "CA2056" "bird_666"
"667" "CA2057" "bird_667"
"668" "CA2058" "bird_668"
"669" "CA2059" "bird_669"
"670" "CA206" "bird_670"
"671" "CA2061" "bird_671"
"672" "CA2062" "bird_672"
"673" "CA2063" "bird_673"
"674" "CA2064" "bird_674"
"675" "CA2065" "bird_675"
"676" "CA2066" "bird_676"
"677" "CA2067" "bird_677"
"678" "CA2068" "bird_678"
"679" "CA2069" "bird_679"
"680" "CA207" "bird_680"
"681" "CA2070" "bird_681"
"682" "CA2071" "bird_682"
"683" "CA2072" "bird_683"
"684" "CA2073" "bird_684"
"685" "CA2074" "bird_685"
"686" "CA2075" "bird_686"
"687" "CA2076" "bird_687"
"688" "CA2077" "bird_688"
"689" "CA2078" "bird_689"
"690" "CA2079" "bird_690"
"691" "CA2080" "bird_691"
"692" "CA2081" "bird_692"
"693" "CA2082" "bird_693"
"694" "CA2083" "bird_694"
"695" "CA2084" "bird_695"
"696" "CA2085" "bird_696"
"697" "CA2086" "bird_697"
"698" "CA2087" "bird_698"
"699" "CA2088" "bird_699"
"700" "CA209" "bird_700"
"701" "CA2090" "bird_701"
"702" "CA2091" "bird_702"
"703" "CA2092" "bird_703"
"704" "CA2093" "bird_704"
"705" "CA2094" "bird_705"
"706" "CA2095" "bird_706"
"707" "CA2096" "bird_707"
"708" "CA2097" "bird_708"
"709" "CA2098" "bird_709"
"710" "CA2099" "bird_710"
"711" "CA210" "bird_711"
"712" "CA2100" "bird_712"
"713" "CA211" "bird_713"
"714" "CA212" "bird_714"
"715" "CA213" "bird_715"
"716" "CA214" "bird_716"
"717" "CA215" "bird_717"
"718" "CA216" "bird_718"
"719" "CA217" "bird_719"
"720" "CA218" "bird_720"
"721" "CA219" "bird_721"
"722" "CA220" "bird_722"
"723" "CA2201" "bird_723"
"724" "CA2202" "bird_724"
"725" "CA2203" "bird_725"
"726" "CA2204" "bird_726"
"727" "CA2205" "bird_727"
"728" "CA2206" "bird_728"
"729" "CA2207" "bird_729"
"730" "CA2208" "bird_730"
"731" "CA2209" "bird_731"
"732" "CA221" "bird_732"
"733" "CA2210" "bird_733"
"734" "CA2211" "bird_734"
"735" "CA2212" "bird_735"
"736" "CA2213" "bird_736"
"737" "CA2214" "bird_737"
"738" "CA2215" "bird_738"
"739" "CA2216" "bird_739"
"740" "CA2217" "bird_740"
"741" "CA2218" "bird_741"
"742" "CA2219" "bird_742"
"743" "CA222" "bird_743"
"744" "CA2220" "bird_744"
"745" "CA2221" "bird_745"
"746" "CA2222" "bird_746"
"747" "CA2223" "bird_747"
"748" "CA2224" "bird_748"
"749" "CA2225" "bird_749"
"750" "CA2226" "bird_750"
"751" "CA2228" "bird_751"
"752" "CA2229" "bird_752"
"753" "CA223" "bird_753"
"754" "CA2230" "bird_754"
"755" "CA2231" "bird_755"
"756" "CA2232" "bird_756"
"757" "CA2233" "bird_757"
"758" "CA2234" "bird_758"
"759" "CA2235" "bird_759"
"760" "CA2236" "bird_760"
"761" "CA2237" "bird_761"
"762" "CA2238" "bird_762"
"763" "CA2239" "bird_763"
"764" "CA224" "bird_764"
"765" "CA2240" "bird_765"
"766" "CA2241" "bird_766"
"767" "CA2242" "bird_767"
"768" "CA2243" "bird_768"
"769" "CA2244" "bird_769"
"770" "CA2245" "bird_770"
"771" "CA2246" "bird_771"
"772" "CA2247" "bird_772"
"773" "CA2248" "bird_773"
"774" "CA2249" "bird_774"
"775" "CA225" "bird_775"
"776" "CA2250" "bird_776"
"777" "CA2251" "bird_777"
"778" "CA2252" "bird_778"
"779" "CA2253" "bird_779"
"780" "CA2254" "bird_780"
"781" "CA2255" "bird_781"
"782" "CA2256" "bird_782"
"783" "CA2257" "bird_783"
"784" "CA2258" "bird_784"
"785" "CA2259" "bird_785"
"786" "CA226" "bird_786"
"787" "CA2260" "bird_787"
"788" "CA2261" "bird_788"
"789" "CA2262" "bird_789"
"790" "CA2263" "bird_790"
"791" "CA2264" "bird_791"
"792" "CA2265" "bird_792"
"793" "CA2266" "bird_793"
"794" "CA2267" "bird_794"
"795" "CA2268" "bird_795"
"796" "CA2269" "bird_796"
"797" "CA227" "bird_797"
"798" "CA2270" "bird_798"
"799" "CA2271" "bird_799"
"800" "CA2272" "bird_800"
"801" "CA2273" "bird_801"
"802" "CA2274" "bird_802"
"803" "CA2275" "bird_803"
"804" "CA2276" "bird_804"
"805" "CA2277" "bird_805"
"806" "CA2278" "bird_806"
"807" "CA2279" "bird_807"
"808" "CA2280" "bird_808"
"809" "CA2281" "bird_809"
"810" "CA2282" "bird_810"
"811" "CA2283" "bird_811"
"812" "CA2284" "bird_812"
"813" "CA2285" "bird_813"
"814" "CA2286" "bird_814"
"815" "CA2287" "bird_815"
"816" "CA2288" "bird_816"
"817" "CA229" "bird_817"
"818" "CA2290" "bird_818"
"819" "CA2291" "bird_819"
"820" "CA2292" "bird_820"
"821" "CA2293" "bird_821"
"822" "CA2294" "bird_822"
"823" "CA2295" "bird_823"
"824" "CA2296" "bird_824"
"825" "CA2297" "bird_825"
"826" "CA2298" "bird_826"
"827" "CA2299" "bird_827"
"828" "CA230" "bird_828"
"829" "CA2300" "bird_829"
"830" "CA2302" "bird_830"
"831" "CA2303" "bird_831"
"832" "CA2304" "bird_832"
"833" "CA2305" "bird_833"
"834" "CA2306" "bird_834"
"835" "CA2307" "bird_835"
"836" "CA2308" "bird_836"
"837" "CA2309" "bird_837"
"838" "CA231" "bird_838"
"839" "CA2310" "bird_839"
"840" "CA2311" "bird_840"
"841" "CA2312" "bird_841"
"842" "CA2314" "bird_842"
"843" "CA2315" "bird_843"
"844" "CA2316" "bird_844"
"845" "CA2317" "bird_845"
"846" "CA2318" "bird_846"
"847" "CA232" "bird_847"
"848" "CA2320" "bird_848"
"849" "CA2321" "bird_849"
"850" "CA2322" "bird_850"
"851" "CA2323" "bird_851"
"852" "CA2324" "bird_852"
"853" "CA2325" "bird_853"
"854" "CA2326" "bird_854"
"855" "CA2327" "bird_855"
"856" "CA2328" "bird_856"
"857" "CA2329" "bird_857"
"858" "CA233" "bird_858"
"859" "CA2331" "bird_859"
"860" "CA2332" "bird_860"
"861" "CA2333" "bird_861"
"862" "CA2334" "bird_862"
"863" "CA2336" "bird_863"
"864" "CA2337" "bird_864"
"865" "CA2338" "bird_865"
"866" "CA2339" "bird_866"
"867" "CA234" "bird_867"
"868" "CA2340" "bird_868"
"869" "CA2341" "bird_869"
"870" "CA2342" "bird_870"
"871" "CA2343" "bird_871"
"872" "CA2344" "bird_872"
"873" "CA2345" "bird_873"
"874" "CA2346" "bird_874"
"875" "CA2347" "bird_875"
"876" "CA2348" "bird_876"
"877" "CA2349" "bird_877"
"878" "CA235" "bird_878"
"879" "CA2350" "bird_879"
"880" "CA2351" "bird_880"
"881" "CA2352" "bird_881"
"882" "CA2353" "bird_882"
"883" "CA2354" "bird_883"
"884" "CA2355" "bird_884"
"885" "CA2357" "bird_885"
"886" "CA2358" "bird_886"
"887" "CA2359" "bird_887"
