"brood_ID" "alias"
"333" "2008_D_4" "brood_333"
"334" "2008_D_5" "brood_334"
"335" "2008_D_6" "brood_335"
"336" "2008_E_101" "brood_336"
"337" "2008_E_102" "brood_337"
"338" "2008_F_101" "brood_338"
"339" "2008_F_102" "brood_339"
"340" "2009_A_1" "brood_340"
"341" "2009_A_101" "brood_341"
"342" "2009_A_102" "brood_342"
"343" "2009_A_103" "brood_343"
"344" "2009_A_2" "brood_344"
"345" "2009_A_201" "brood_345"
"346" "2009_A_202" "brood_346"
"347" "2009_A_203" "brood_347"
"348" "2009_A_204" "brood_348"
"349" "2009_A_205" "brood_349"
"350" "2009_A_206" "brood_350"
"351" "2009_A_207" "brood_351"
"352" "2009_A_3" "brood_352"
"353" "2009_A_4" "brood_353"
"354" "2009_A_5" "brood_354"
"355" "2009_A_6" "brood_355"
"356" "2009_A_7" "brood_356"
"357" "2009_A_8" "brood_357"
"358" "2009_A_9" "brood_358"
"359" "2009_B_1" "brood_359"
"360" "2009_B_101" "brood_360"
"361" "2009_B_102" "brood_361"
"362" "2009_B_2" "brood_362"
"363" "2009_B_3" "brood_363"
"364" "2009_B_4" "brood_364"
"365" "2009_B_5" "brood_365"
"366" "2009_B_6" "brood_366"
"367" "2009_C_1" "brood_367"
"368" "2009_C_101" "brood_368"
"369" "2009_C_102" "brood_369"
"370" "2009_C_103" "brood_370"
"371" "2009_C_104" "brood_371"
"372" "2009_C_2" "brood_372"
"373" "2009_C_3" "brood_373"
"374" "2009_C_4" "brood_374"
"375" "2009_C_5" "brood_375"
"376" "2009_C_6" "brood_376"
"377" "2009_C_7" "brood_377"
"378" "2009_C_8" "brood_378"
"379" "2009_D_1" "brood_379"
"380" "2009_D_10" "brood_380"
"381" "2009_D_101" "brood_381"
"382" "2009_D_102" "brood_382"
"383" "2009_D_103" "brood_383"
"384" "2009_D_104" "brood_384"
"385" "2009_D_105" "brood_385"
"386" "2009_D_106" "brood_386"
"387" "2009_D_107" "brood_387"
"388" "2009_D_108" "brood_388"
"389" "2009_D_109" "brood_389"
"390" "2009_D_110" "brood_390"
"391" "2009_D_111" "brood_391"
"392" "2009_D_112" "brood_392"
"393" "2009_D_113" "brood_393"
"394" "2009_D_12" "brood_394"
