"bird_ID" "ch" "year" "day_of_season" "sex" "brood_ID" "clutch_size"
"bird_414" "1.................1........" "2007" 47 "F" "brood_167" 3
"bird_415" "1.........................." "2007" 47 "M" "brood_153" 3
"bird_416" "1.11..............11.1.111." "2007" 47 "M" "brood_153" 3
"bird_417" "10110000000000000011010111." "2007" 47 "F" "brood_167" 3
"bird_419" "111.11....................." "2007" 48 "F" "brood_256" 3
"bird_420" ".11.11....................." "2007" 48 "F" "brood_256" 3
"bird_421" "1010101111011011000000.000." "2006" 44 "F" "brood_34" 3
"bird_422" "001100000000000000000000000" "2007" 46 "F" "brood_150" 3
"bird_423" "111111000000000000000000..." "2007" 49 "F" "brood_258" 3
"bird_424" "1111110.00.0000000000.0...." "2007" 49 "M" "brood_258" 3
"bird_427" "111111111101.0000000000.0.." "2007" 47 "F" "brood_258" 3
"bird_429" "111.1..............0..1...." "2007" 49 "M" "brood_263" 3
"bird_430" "111.1..............0..1...." "2007" 49 "F" "brood_263" 3
"bird_431" "1010100100000001010011.000." "2006" 44 "M" "brood_45" 3
"bird_432" "1.1.111....1111.1.1..1....." "2007" 51 "F" "brood_155" 3
"bird_433" "1111111000111110101001....." "2007" 51 "F" "brood_155" 3
"bird_434" "101.1..............0..1...." "2007" 49 "F" "brood_263" 3
"bird_435" "11.00.0000011010.1........." "2007" 54 "M" "brood_252" 3
"bird_437" "11.00.0000011010.1........." "2007" 54 "M" "brood_252" 3
"bird_438" "11111....1................." "2007" 52 "F" "brood_152" 3
"bird_439" "11111....1................." "2007" 52 "M" "brood_152" 3
"bird_440" "11..11.11..111111.........." "2007" 55 "F" "brood_190" 3
"bird_441" "1010100100000001010011.000." "2006" 44 "M" "brood_45" 3
"bird_442" "110001011000101110........." "2007" 55 "F" "brood_190" 3
"bird_443" "11...1.11...1.111.........." "2007" 55 "M" "brood_190" 3
"bird_445" "1........11.1111..........." "2007" 56 "M" "brood_201" 3
"bird_446" "1........11.1111..........." "2007" 56 "F" "brood_201" 3
"bird_447" "1........11.1111..........." "2007" 56 "M" "brood_201" 3
"bird_448" "10100011110001000.........." "2007" 56 "F" "brood_192" 3
"bird_449" "1.........................." "2007" 56 "M" "brood_162" 3
"bird_450" "1.1...1111...1............." "2007" 56 "M" "brood_192" 3
"bird_451" "1010100100000001010011.000." "2006" 44 "M" "brood_45" 3
"bird_452" "1...1.11..................." "2007" 56 "F" "brood_162" 3
"bird_453" "111...1111...1............." "2007" 56 "F" "brood_192" 3
"bird_454" "1000111000001110..........." "2007" 57 "F" "brood_166" 3
"bird_455" "1000111000001110..........." "2007" 57 "M" "brood_166" 3
"bird_456" "1000111000001110..........." "2007" 57 "M" "brood_166" 3
"bird_457" "1100010000101000..........." "2007" 57 "F" "brood_253" 3
"bird_458" "11.0010000000.0............" "2007" 57 "F" "brood_253" 3
"bird_459" "10111110101100............." "2007" 59 "F" "brood_191" 3
"bird_460" "1.11111.....1.............." "2007" 59 "F" "brood_164" 3
"bird_461" "00..11.11011011111........." "2007" 55 "M" "brood_230" 3
"bird_462" "1010101111011011000000.000." "2006" 44 "F" "brood_34" 3
"bird_463" "00..11.11011011111........." "2007" 55 "M" "brood_230" 3
"bird_464" "101000....................." "2007" 67 "M" "brood_237" 3
"bird_465" "100........................" "2007" 70 "M" "brood_241" 3
"bird_466" "110........................" "2007" 70 "F" "brood_235" 3
"bird_469" "1101010...................." "2007" 66 "F" "brood_232" 3
"bird_470" "1101010...................." "2007" 66 "M" "brood_232" 3
"bird_471" "1101010...................." "2007" 66 "F" "brood_232" 3
"bird_472" "101.0......................" "2007" 67 "F" "brood_255" 3
"bird_474" "101.0......................" "2007" 67 "F" "brood_255" 3
"bird_475" "101100....................." "2007" 67 "F" "brood_249" 3
"bird_476" "101100....................." "2007" 67 "M" "brood_249" 3
"bird_478" "100........................" "2007" 70 "M" "brood_241" 3
"bird_479" "100........................" "2007" 70 "F" "brood_241" 3
"bird_485" "10000110000000110101.011.10" "2008" 14 "M" "brood_264" 3
"bird_486" "10........................." "2007" 70 "M" "brood_207" 3
"bird_487" "10........................." "2007" 70 "M" "brood_207" 3
"bird_488" "100........................" "2007" 70 "F" "brood_235" 3
"bird_489" "0000000000000010..........." "2007" 57 "F" "brood_166" 3
"bird_490" "10000110000000110101.011.10" "2008" 14 "M" "brood_264" 3
"bird_492" "1000000000000000000.100.011" "2008" 15 "M" "brood_287" 3
"bird_495" "1.........................." "2008" 17 "F" "brood_289" 3
"bird_496" "1.........................." "2008" 17 "F" "brood_289" 3
"bird_497" "1.........................." "2008" 17 "M" "brood_289" 3
"bird_498" "1........................1." "2008" 18 "M" "brood_288" 3
"bird_499" "1........................1." "2008" 18 "M" "brood_288" 3
"bird_500" "1.........................." "2008" 18 "F" "brood_288" 3
"bird_503" "1.........................." "2008" 20 "F" "brood_286" 3
"bird_504" "1...1......................" "2008" 21 "F" "brood_279" 3
"bird_506" ".1........................." "2008" 20 "F" "brood_286" 3
"bird_507" ".1........................." "2008" 21 "F" "brood_279" 3
"bird_508" "100001101.100.001.0.00000.." "2008" 25 "M" "brood_292" 3
"bird_509" "100001101.100.001.0.00000.." "2008" 25 "M" "brood_292" 3
"bird_510" "11......11.1......1....1..." "2008" 28 "F" "brood_296" 3
"bird_512" ".1......11.1......1........" "2008" 28 "M" "brood_296" 3
"bird_513" "1..1.1....11..............." "2008" 30 "F" "brood_336" 3
"bird_514" "1..1.1....11..............." "2008" 30 "M" "brood_336" 3
"bird_515" ".1........................." "2008" 30 "F" "brood_336" 3
"bird_520" "1.0..0..10000.0.0000.00...." "2008" 8 "M" "brood_308" 3
"bird_521" "1.0..0..10000.0.0000.00...." "2008" 8 "F" "brood_308" 3
"bird_522" "1.0..0..00000.0.0000.00...." "2008" 8 "F" "brood_308" 3
"bird_523" "1..0..01000.0.0100.10.....1" "2008" 10 "M" "brood_307" 3
"bird_524" "1..0..01000.0.0100.10.....1" "2008" 10 "M" "brood_307" 3
"bird_525" "1..1..10001.1.0000.00.....0" "2008" 10 "M" "brood_309" 3
"bird_526" "1..1..10000.1.0000.00.....0" "2008" 10 "M" "brood_309" 3
"bird_528" "1..0..00000.0.0000.00.....0" "2008" 10 "M" "brood_309" 3
"bird_530" "10000110000000110101.011.10" "2008" 14 "F" "brood_264" 3
"bird_532" "1.0.11....000010..0....0011" "2008" 17 "M" "brood_323" 2
"bird_533" ".0.11....000000..0....00110" "2008" 18 "M" "brood_323" 2
"bird_534" "1..0.01.101.000.000.11.0.0." "2008" 23 "F" "brood_294" 3
"bird_535" "11.....1....11...........1." "2008" 28 "F" "brood_267" 3
"bird_536" "1.....1....11...........1.." "2008" 29 "M" "brood_267" 3
"bird_537" "1.........................." "2008" 29 "M" "brood_267" 3
"bird_538" "100110000000000000000.000.." "2006" 45 "F" "brood_39" 3
"bird_539" "1.........................." "2008" 29 "F" "brood_268" 3
"bird_540" "1.........................." "2008" 30 "F" "brood_268" 3
"bird_541" "1.........................." "2008" 31 "F" "brood_268" 3
"bird_542" "1.0.10...11......00.0...1.0" "2008" 31 "M" "brood_337" 3
"bird_543" "1.0.10...11......00.0...1.0" "2008" 31 "M" "brood_337" 3
"bird_544" "1.........................." "2008" 35 "M" "brood_273" 3
"bird_545" "1.........................." "2008" 36 "F" "brood_273" 3
"bird_546" "1.........................." "2008" 37 "M" "brood_301" 2
"bird_547" "1.........................." "2008" 37 "F" "brood_301" 2
"bird_550" "1.........................." "2008" 44 "M" "brood_303" 3
"bird_551" "1.........................." "2008" 45 "F" "brood_280" 3
"bird_552" "1.........................." "2008" 48 "M" "brood_298" 3
"bird_553" "1.........................." "2008" 48 "F" "brood_298" 3
"bird_554" "1.........................." "2008" 49 "F" "brood_314" 3
"bird_555" "1.........................." "2008" 49 "F" "brood_314" 3
"bird_556" "1.........................." "2008" 53 "M" "brood_283" 3
"bird_557" "1.........................." "2008" 53 "M" "brood_269" 2
"bird_558" "1.........................." "2008" 53 "M" "brood_269" 2
"bird_559" "1.00....0.0011..1.........." "2008" 54 "M" "brood_305" 3
"bird_561" "1.00....0.0000..0.........." "2008" 54 "M" "brood_305" 3
"bird_562" "10....0.0000..0............" "2008" 56 "M" "brood_316" 3
"bird_563" "10....0.0000..0............" "2008" 56 "F" "brood_316" 3
"bird_564" "01....0.0000..0............" "2008" 56 "M" "brood_316" 3
"bird_565" "..100000000..0............." "2008" 57 "F" "brood_328" 3
"bird_566" "..100000000..0............." "2008" 57 "F" "brood_328" 3
"bird_567" "1.0.00000.0................" "2008" 60 "M" "brood_284" 3
"bird_568" "1.........................." "2008" 62 "F" "brood_333" 3
"bird_569" "1.........................." "2008" 63 "M" "brood_333" 3
"bird_570" "1.........................." "2008" 63 "M" "brood_332" 3
"bird_571" ".11011010000000000000000000" "2006" 44 "M" "brood_88" 3
"bird_572" "1.........................." "2008" 63 "M" "brood_332" 3
"bird_573" ".11011010000000000000000000" "2006" 44 "F" "brood_88" 3
"bird_574" ".11011010000000000000000000" "2006" 44 "M" "brood_88" 3
"bird_575" "100110000000000000000.000.." "2006" 45 "F" "brood_39" 3
"bird_576" "100110000000000000000.000.." "2006" 45 "F" "brood_39" 3
"bird_579" "11101000000000000000.000..." "2006" 46 "M" "brood_37" 3
"bird_585" "11101000000000000000.000..." "2006" 46 "M" "brood_37" 3
"bird_586" "11101000000000000000.000..." "2006" 46 "M" "brood_37" 3
"bird_592" "10101000000000000000000...." "2006" 48 "M" "brood_131" 3
"bird_593" "10101000000000000000000...." "2006" 48 "M" "brood_131" 3
"bird_594" "110000000000.00.0000......." "2006" 48 "M" "brood_15" 3
"bird_595" "10010000000000000000000...." "2006" 48 "M" "brood_115" 3
"bird_596" "10010000000000000000000...." "2006" 48 "F" "brood_115" 3
"bird_597" "110000000000.00.0000......." "2006" 48 "F" "brood_15" 3
"bird_598" "1110000000000000000000....." "2006" 49 "M" "brood_112" 3
"bird_602" "1110000000000000000000....." "2006" 49 "M" "brood_112" 3
"bird_604" "111000010101001000000......" "2006" 50 "F" "brood_86" 3
"bird_605" "111000010101001000000......" "2006" 50 "F" "brood_86" 3
"bird_606" "111000010101001000000......" "2006" 50 "F" "brood_86" 3
"bird_609" "111001001000000000000......" "2006" 50 "M" "brood_89" 3
"bird_610" "111001001000000000000......" "2006" 50 "M" "brood_89" 3
"bird_612" "100.011.0.00000..010..1..0." "2008" 35 "M" "brood_265" 3
"bird_613" "111.1.00000..000..0..0.0.00" "2008" 39 "F" "brood_276" 2
"bird_614" "1.00000..000..0..0.0.00000." "2008" 43 "F" "brood_278" 2
"bird_615" "1.00000..000..0..0.0.00000." "2008" 43 "M" "brood_278" 2
"bird_616" "1.........................." "2008" 44 "F" "brood_303" 3
"bird_617" "1.........................." "2008" 44 "M" "brood_303" 3
"bird_620" "1.........................." "2008" 51 "F" "brood_299" 3
"bird_621" "1.........................." "2008" 52 "M" "brood_299" 3
"bird_622" "1.........................." "2008" 52 "F" "brood_299" 3
"bird_623" "1.........1................" "2008" 52 "F" "brood_317" 3
"bird_624" "1........1................." "2008" 53 "M" "brood_317" 3
"bird_625" "01..0..0.0.00110.1........." "2008" 53 "F" "brood_282" 3
"bird_630" "1.........................." "2008" 64 "M" "brood_319" 3
"bird_631" "1.........................." "2008" 64 "F" "brood_285" 3
"bird_632" "1.........................." "2008" 64 "F" "brood_285" 3
"bird_634" ".111..1...................." "2008" 64 "M" "brood_332" 3
"bird_635" "1.........................." "2008" 65 "M" "brood_320" 3
"bird_636" "111..1....................." "2008" 65 "M" "brood_320" 3
"bird_637" "1.........................." "2008" 66 "M" "brood_320" 3
"bird_641" "1.011001.001110100110.10010" "2009" 12 "M" "brood_373" 3
"bird_642" "1.011001.001110100110.10010" "2009" 12 "M" "brood_373" 3
"bird_643" "1.011001.001110100110.10010" "2009" 12 "F" "brood_373" 3
"bird_646" ".111..1.111111111111.11...1" "2009" 13 "F" "brood_362" 2
"bird_647" ".1........................." "2009" 13 "F" "brood_362" 2
"bird_654" "11.1.1.1111111.1...1...1..1" "2009" 16 "M" "brood_367" 3
"bird_655" "11.1.1111100110110100111011" "2009" 16 "F" "brood_345" 3
"bird_656" "11.0.0000000000000000000000" "2009" 16 "M" "brood_345" 3
"bird_657" ".1........................." "2009" 16 "M" "brood_367" 3
"bird_658" "1011100..0...........0.0.00" "2009" 17 "M" "brood_359" 2
"bird_659" "01000.000000000000000000000" "2006" 39 "F" "brood_120" 3
"bird_664" "1.........................." "2008" 49 "F" "brood_281" 3
"bird_665" "1.........................." "2008" 49 "F" "brood_281" 3
"bird_666" "1.........................." "2008" 49 "F" "brood_281" 3
"bird_667" "1.........................." "2008" 49 "M" "brood_315" 3
"bird_668" "1.........................." "2008" 49 "M" "brood_315" 3
"bird_670" "01000.000000100000000000000" "2006" 39 "F" "brood_120" 3
"bird_671" "1.........................." "2008" 53 "M" "brood_283" 3
