"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"24" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2280.96802307692 15.4877540047578 0.000199366150057306 537.40498 57
"44" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2282.91606907217 17.4358000000002 7.52728932431403e-05 537.33096 58
"64" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2288.64155226337 23.1612831912093 4.29898303354284e-06 549.11427 59
"16" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2289.88845271105 24.4081836388855 2.30464872313525e-06 548.34468 60
"125" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2258.86964021305 0 0.698525460065178 419.86624 61
"85" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2261.95866808511 3.0890278720567 0.14907621595357 427.0006 62
"95" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2262.97230838323 4.10266817018373 0.0898047206640908 425.9929 63
"115" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2263.76320838323 4.8935681701837 0.0604724290249061 426.78381 64
"55" "~age * sex" "~age * Time" "Phi(~age * sex)p(~age * Time)" 8 2271.47380838323 12.604168170184 0.00128003515521841 434.49438 65
"105" "~age * sex" "~Time" "Phi(~age * sex)p(~Time)" 6 2272.96201395349 14.0923737404387 0.000608222054449718 440.02261 66
"35" "~age * sex" "~age + Time" "Phi(~age * sex)p(~age + Time)" 7 2274.88206808511 16.0124278720568 0.000232877594636152 439.92403 67
"45" "~age * sex" "~age * sex" "Phi(~age * sex)p(~age * sex)" 8 2293.21580838323 34.3461681701838 2.43224088556326e-08 456.23641 68
"25" "~age * sex" "~age + sex" "Phi(~age * sex)p(~age + sex)" 7 2295.21036808511 36.340727872057 8.97208642714145e-09 460.25228 69
"75" "~age * sex" "~sex" "Phi(~age * sex)p(~sex)" 6 2295.95911395349 37.0894737404387 6.17028677276752e-09 463.01977 70
"65" "~age * sex" "~1" "Phi(~age * sex)p(~1)" 5 2308.49384063745 49.6242004244009 1.17064181637891e-11 477.57046 71
"17" "~age * sex" "~age" "Phi(~age * sex)p(~age)" 6 2308.53611395349 49.666473740439 1.14615802492811e-11 475.59677 72
"126" "~age * sex" "~Time + age * sex" "Phi(~age * sex)p(~Time + age * sex)" 9 2279.29280449438 0 0.694623756784888 489.26986 73
"86" "~age * sex" "~sex + Time" "Phi(~age * sex)p(~sex + Time)" 7 2282.19824137447 2.90543688009211 0.162495758808307 496.22313 74
"116" "~age * sex" "~Time + age + sex" "Phi(~age * sex)p(~Time + age + sex)" 8 2283.76525263158 4.47244813719726 0.0742283589491666 495.76768 75
"96" "~age * sex" "~sex * Time" "Phi(~age * sex)p(~sex * Time)" 8 2283.92515263158 4.63234813719691 0.0685248376676711 495.92759 76
