"Phi" "p" "model" "npar" "AICc" "DeltaAICc" "weight" "Deviance" "iter"
"97" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10161.4751547536 15.9617847605896 0.000341577683686319 5833.9151 73
"87" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10162.5921813136 17.0788113205454 0.000195402561985666 5837.0452 74
"77" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10163.2711387283 17.7577687352696 0.00013915426580345 5839.7358 75
"17" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10631.1538504155 485.640480422458 0 6321.6771 76
"27" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10631.1593950589 485.646025065824 0 6319.6767 77
"37" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10632.5123950589 486.999025065825 0 6321.03 78
"47" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10632.5128660508 486.999496057753 0 6319.0241 79
"57" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10633.0412640333 487.52789404021 0 6317.5449 80
"108" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10145.4154223245 0 0.995597717879064 5937.7216 81
"88" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10157.6106781609 12.1952558364083 0.00223829711464648 5959.9898 82
"98" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10157.816573925 12.4011516005285 0.00201933344254493 5958.1833 83
"78" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10164.1707076534 18.7552853289017 8.4221976673476e-05 5968.5619 84
"68" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10164.8346617647 19.4192394401944 6.04295870708722e-05 5971.2373 85
"48" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10465.9287116621 320.513289337565 0 6280.3658 86
"38" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10466.5062793206 321.090856996121 0 6282.9505 87
"58" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10467.742065442 322.326643117511 0 6280.1719 88
"28" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10474.8072793206 329.391856996122 0 6291.2514 89
"18" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10475.5497677834 330.134345458875 0 6293.9991 90
"109" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10323.0643662628 0 0.960498346038036 6017.6069 91
"79" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10330.3215919032 7.25722564039461 0.0255041055210249 6036.9509 92
"89" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10332.210710263 9.14634400015893 0.00991729557011217 6036.828 93
"99" "~sex * quadratic" "~year + quadratic * sex" "Phi(~sex * quadratic)p(~year + quadratic * sex)" 14 10334.1137653631 11.0493991003132 0.00382957070740283 6036.7187 94
"69" "~sex * quadratic" "~year" "Phi(~sex * quadratic)p(~year)" 11 10339.5664096301 16.5020433673308 0.000250682163424669 6048.2068 95
"29" "~sex * quadratic" "~quadratic" "Phi(~sex * quadratic)p(~quadratic)" 6 10733.0235167286 409.959150465809 0 6451.706 96
"49" "~sex * quadratic" "~sex + quadratic" "Phi(~sex * quadratic)p(~sex + quadratic)" 7 10734.6940283523 411.629662089497 0 6451.3702 97
"59" "~sex * quadratic" "~sex * quadratic" "Phi(~sex * quadratic)p(~sex * quadratic)" 8 10736.6854728033 413.621106540531 0 6451.354 98
"19" "~sex * quadratic" "~1" "Phi(~sex * quadratic)p(~1)" 5 10745.9979372822 422.933571019415 0 6466.6867 99
"39" "~sex * quadratic" "~sex" "Phi(~sex * quadratic)p(~sex)" 6 10747.6225167286 424.558150465808 0 6466.3055 100
"1010" "~sex * quadratic" "~year * quadratic" "Phi(~sex * quadratic)p(~year * quadratic)" 18 10163.0588168914 0 0.99999990058106 5836.7961 101
"810" "~sex * quadratic" "~year + quadratic + sex" "Phi(~sex * quadratic)p(~year + quadratic + sex)" 13 10196.6510113422 33.5921944507427 5.07630390571447e-08 5880.4638 102
"710" "~sex * quadratic" "~year + quadratic" "Phi(~sex * quadratic)p(~year + quadratic)" 12 10197.9177065911 34.8588896996571 2.6945623415178e-08 5883.7434 103
